destino,categoria,region,titulo,texto,rating,fecha_raw,fecha_extraccion,titulo_limpio,texto_limpio,texto_completo,longitud_texto,idioma,sentimiento_rating,anio
Galapagos,Naturaleza,Costa/Insular,Once in a lifetime experience,"Visiting the Galapagos was the most extraordinary experience of my life. The wildlife is completely fearless, sea lions sleeping on benches, iguanas crossing the path. The snorkeling with sea turtles and hammerhead sharks left me speechless. Expensive but worth every penny.",5.0,January 2024,2026-04-20,Once in a lifetime experience,"Visiting the Galapagos was the most extraordinary experience of my life. The wildlife is completely fearless, sea lions sleeping on benches, iguanas crossing the path. The snorkeling with sea turtles and hammerhead sharks left me speechless. Expensive but worth every penny.","Once in a lifetime experience. Visiting the Galapagos was the most extraordinary experience of my life. The wildlife is completely fearless, sea lions sleeping on benches, iguanas crossing the path. The snorkeling with sea turtles and hammerhead sharks left me speechless. Expensive but worth every penny",274,en,positivo,2024
Galapagos,Naturaleza,Costa/Insular,Naturaleza incomparable,"Las Galápagos superaron todas mis expectativas. Los animales no tienen miedo a los humanos, lo que permite observarlos de cerca. La isla de Santa Cruz es espectacular. El costo es elevado pero justificado por la experiencia única que ofrece.",5.0,Febrero 2024,2026-04-20,Naturaleza incomparable,"Las Galápagos superaron todas mis expectativas. Los animales no tienen miedo a los humanos, lo que permite observarlos de cerca. La isla de Santa Cruz es espectacular. El costo es elevado pero justificado por la experiencia única que ofrece.","Naturaleza incomparable. Las Galápagos superaron todas mis expectativas. Los animales no tienen miedo a los humanos, lo que permite observarlos de cerca. La isla de Santa Cruz es espectacular. El costo es elevado pero justificado por la experiencia única que ofrece",241,es,positivo,2024
Galapagos,Naturaleza,Costa/Insular,Too expensive for what it offers,"The islands are beautiful, no doubt about that. However, the costs are extremely high. Between the park entrance fee, boat tours, and accommodation, we spent more than expected. The regulations are strict which is good for conservation but limiting for tourists.",3.0,March 2024,2026-04-20,Too expensive for what it offers,"The islands are beautiful, no doubt about that. However, the costs are extremely high. Between the park entrance fee, boat tours, and accommodation, we spent more than expected. The regulations are strict which is good for conservation but limiting for tourists.","Too expensive for what it offers. The islands are beautiful, no doubt about that. However, the costs are extremely high. Between the park entrance fee, boat tours, and accommodation, we spent more than expected. The regulations are strict which is good for conservation but limiting for tourists",262,en,neutro,2024
Galapagos,Naturaleza,Costa/Insular,Viaje soñado hecho realidad,"Llevaba años queriendo visitar Galápagos y no me decepcionó en absoluto. Los lobos marinos, las iguanas y los piqueros de patas azules son increíbles. El buceo fue la mejor experiencia de mi vida. Recomiendo contratar un tour organizado.",5.0,Diciembre 2023,2026-04-20,Viaje soñado hecho realidad,"Llevaba años queriendo visitar Galápagos y no me decepcionó en absoluto. Los lobos marinos, las iguanas y los piqueros de patas azules son increíbles. El buceo fue la mejor experiencia de mi vida. Recomiendo contratar un tour organizado.","Viaje soñado hecho realidad. Llevaba años queriendo visitar Galápagos y no me decepcionó en absoluto. Los lobos marinos, las iguanas y los piqueros de patas azules son increíbles. El buceo fue la mejor experiencia de mi vida. Recomiendo contratar un tour organizado",237,es,positivo,2023
Galapagos,Naturaleza,Costa/Insular,Amazing but logistics need improvement,"The natural experience is unparalleled. However, inter-island transportation is complicated and expensive. Some boats were old and uncomfortable. The national park rules are important but guides vary in quality significantly.",4.0,November 2023,2026-04-20,Amazing but logistics need improvement,"The natural experience is unparalleled. However, inter-island transportation is complicated and expensive. Some boats were old and uncomfortable. The national park rules are important but guides vary in quality significantly.","Amazing but logistics need improvement. The natural experience is unparalleled. However, inter-island transportation is complicated and expensive. Some boats were old and uncomfortable. The national park rules are important but guides vary in quality significantly",225,en,positivo,2023
Galapagos,Naturaleza,Costa/Insular,Experiencia mágica con pequeños inconvenientes,"Las islas son un paraíso natural sin igual. Sin embargo, encontramos algunos problemas con la organización del tour y el estado de las embarcaciones. La guía no hablaba bien inglés lo que limitó la experiencia para turistas extranjeros del grupo.",3.0,Octubre 2023,2026-04-20,Experiencia mágica con pequeños inconvenientes,"Las islas son un paraíso natural sin igual. Sin embargo, encontramos algunos problemas con la organización del tour y el estado de las embarcaciones. La guía no hablaba bien inglés lo que limitó la experiencia para turistas extranjeros del grupo.","Experiencia mágica con pequeños inconvenientes. Las islas son un paraíso natural sin igual. Sin embargo, encontramos algunos problemas con la organización del tour y el estado de las embarcaciones. La guía no hablaba bien inglés lo que limitó la experiencia para turistas extranjeros del grupo",246,es,neutro,2023
Galapagos,Naturaleza,Costa/Insular,Best trip of my life,"I cannot recommend Galapagos enough. Every single day brought new incredible encounters. We swam with penguins, watched albatrosses dance, and hiked volcanic landscapes. The conservation effort is admirable. Go now before it gets more crowded.",5.0,February 2024,2026-04-20,Best trip of my life,"I cannot recommend Galapagos enough. Every single day brought new incredible encounters. We swam with penguins, watched albatrosses dance, and hiked volcanic landscapes. The conservation effort is admirable. Go now before it gets more crowded.","Best trip of my life. I cannot recommend Galapagos enough. Every single day brought new incredible encounters. We swam with penguins, watched albatrosses dance, and hiked volcanic landscapes. The conservation effort is admirable. Go now before it gets more crowded",243,en,positivo,2024
Galapagos,Naturaleza,Costa/Insular,Decepcionante por el precio pagado,"Esperaba mucho más por el dinero que costó. Si bien la naturaleza es bonita, hay destinos más económicos con experiencias similares. Los servicios turísticos son muy básicos para los precios que cobran. La comida en los restaurantes locales es cara y de calidad regular.",2.0,Enero 2024,2026-04-20,Decepcionante por el precio pagado,"Esperaba mucho más por el dinero que costó. Si bien la naturaleza es bonita, hay destinos más económicos con experiencias similares. Los servicios turísticos son muy básicos para los precios que cobran. La comida en los restaurantes locales es cara y de calidad regular.","Decepcionante por el precio pagado. Esperaba mucho más por el dinero que costó. Si bien la naturaleza es bonita, hay destinos más económicos con experiencias similares. Los servicios turísticos son muy básicos para los precios que cobran. La comida en los restaurantes locales es cara y de calidad regular",270,es,negativo,2024
Quito,Ciudad/Patrimonio,Sierra,Centro histórico impresionante,"El centro histórico de Quito es sin duda uno de los más bellos de América Latina. La Basílica del Voto Nacional, La Compañía y el Panecillo son imperdibles. La altitud puede afectar los primeros días pero vale completamente la pena la visita.",5.0,Marzo 2024,2026-04-20,Centro histórico impresionante,"El centro histórico de Quito es sin duda uno de los más bellos de América Latina. La Basílica del Voto Nacional, La Compañía y el Panecillo son imperdibles. La altitud puede afectar los primeros días pero vale completamente la pena la visita.","Centro histórico impresionante. El centro histórico de Quito es sin duda uno de los más bellos de América Latina. La Basílica del Voto Nacional, La Compañía y el Panecillo son imperdibles. La altitud puede afectar los primeros días pero vale completamente la pena la visita",242,es,positivo,2024
Quito,Ciudad/Patrimonio,Sierra,Beautiful colonial city with safety concerns,"Quito has a magnificent colonial center that is truly UNESCO worthy. The churches are stunning and the views from El Panecillo are breathtaking. However, we experienced some uncomfortable situations in the historic center with pickpockets. Stay aware of your surroundings at all times.",3.0,January 2024,2026-04-20,Beautiful colonial city with safety concerns,"Quito has a magnificent colonial center that is truly UNESCO worthy. The churches are stunning and the views from El Panecillo are breathtaking. However, we experienced some uncomfortable situations in the historic center with pickpockets. Stay aware of your surroundings at all times.","Beautiful colonial city with safety concerns. Quito has a magnificent colonial center that is truly UNESCO worthy. The churches are stunning and the views from El Panecillo are breathtaking. However, we experienced some uncomfortable situations in the historic center with pickpockets. Stay aware of your surroundings at all times",285,en,neutro,2024
Quito,Ciudad/Patrimonio,Sierra,Ciudad sorprendente,Quito me sorprendió gratamente. El casco colonial está perfectamente preservado y la gente es muy amable. Los mercados de comida son increíbles y económicos. El teleférico ofrece vistas espectaculares. La altitud de 2800m fue un reto pero se supera rápidamente.,4.0,Febrero 2024,2026-04-20,Ciudad sorprendente,Quito me sorprendió gratamente. El casco colonial está perfectamente preservado y la gente es muy amable. Los mercados de comida son increíbles y económicos. El teleférico ofrece vistas espectaculares. La altitud de 2800m fue un reto pero se supera rápidamente.,Ciudad sorprendente. Quito me sorprendió gratamente. El casco colonial está perfectamente preservado y la gente es muy amable. Los mercados de comida son increíbles y económicos. El teleférico ofrece vistas espectaculares. La altitud de 2800m fue un reto pero se supera rápidamente,261,es,positivo,2024
Quito,Ciudad/Patrimonio,Sierra,Altitude sickness ruined our trip,"We spent the first two days in bed due to severe altitude sickness. When we finally recovered, we enjoyed the colonial center. But the altitude was a real issue and we were not adequately warned by the tour operator. Plan ahead and take medication before arriving.",2.0,December 2023,2026-04-20,Altitude sickness ruined our trip,"We spent the first two days in bed due to severe altitude sickness. When we finally recovered, we enjoyed the colonial center. But the altitude was a real issue and we were not adequately warned by the tour operator. Plan ahead and take medication before arriving.","Altitude sickness ruined our trip. We spent the first two days in bed due to severe altitude sickness. When we finally recovered, we enjoyed the colonial center. But the altitude was a real issue and we were not adequately warned by the tour operator. Plan ahead and take medication before arriving",264,en,negativo,2023
Quito,Ciudad/Patrimonio,Sierra,Patrimonio vivo de la humanidad,"Quito tiene el centro histórico mejor conservado de América Latina y es merece totalmente su declaración como Patrimonio de la Humanidad. Las iglesias son majestuosas, especialmente La Compañía con su interior dorado. Recomiendo contratar un guía local para enriquecer la visita.",5.0,Noviembre 2023,2026-04-20,Patrimonio vivo de la humanidad,"Quito tiene el centro histórico mejor conservado de América Latina y es merece totalmente su declaración como Patrimonio de la Humanidad. Las iglesias son majestuosas, especialmente La Compañía con su interior dorado. Recomiendo contratar un guía local para enriquecer la visita.","Patrimonio vivo de la humanidad. Quito tiene el centro histórico mejor conservado de América Latina y es merece totalmente su declaración como Patrimonio de la Humanidad. Las iglesias son majestuosas, especialmente La Compañía con su interior dorado. Recomiendo contratar un guía local para enriquecer la visita",279,es,positivo,2023
Quito,Ciudad/Patrimonio,Sierra,Good city but not enough time,Quito deserves more than 2 days. The historic center alone could keep you busy for days. The food scene is excellent with great local restaurants. Uber works well here which makes transportation easy and safe. The equator line visit was a fun tourist activity.,4.0,October 2023,2026-04-20,Good city but not enough time,Quito deserves more than 2 days. The historic center alone could keep you busy for days. The food scene is excellent with great local restaurants. Uber works well here which makes transportation easy and safe. The equator line visit was a fun tourist activity.,Good city but not enough time. Quito deserves more than 2 days. The historic center alone could keep you busy for days. The food scene is excellent with great local restaurants. Uber works well here which makes transportation easy and safe. The equator line visit was a fun tourist activity,260,en,positivo,2023
Quito,Ciudad/Patrimonio,Sierra,Inseguridad preocupante,Lamentablemente la situación de seguridad en Quito ha empeorado notablemente. Sufrimos un intento de robo en pleno centro histórico durante el día. Los hoteles advierten de no salir de noche. Es una pena porque la ciudad tiene mucho potencial turístico.,2.0,Enero 2024,2026-04-20,Inseguridad preocupante,Lamentablemente la situación de seguridad en Quito ha empeorado notablemente. Sufrimos un intento de robo en pleno centro histórico durante el día. Los hoteles advierten de no salir de noche. Es una pena porque la ciudad tiene mucho potencial turístico.,Inseguridad preocupante. Lamentablemente la situación de seguridad en Quito ha empeorado notablemente. Sufrimos un intento de robo en pleno centro histórico durante el día. Los hoteles advierten de no salir de noche. Es una pena porque la ciudad tiene mucho potencial turístico,253,es,negativo,2024
Quito,Ciudad/Patrimonio,Sierra,Una joya arquitectónica,"Cada calle del centro histórico es un museo al aire libre. Las fachadas coloniales, las plazas y las iglesias crean una atmósfera única. El barrio La Floresta tiene restaurantes y cafés excelentes. La gente quiteña es muy hospitalaria y orgullosa de su ciudad.",5.0,Diciembre 2023,2026-04-20,Una joya arquitectónica,"Cada calle del centro histórico es un museo al aire libre. Las fachadas coloniales, las plazas y las iglesias crean una atmósfera única. El barrio La Floresta tiene restaurantes y cafés excelentes. La gente quiteña es muy hospitalaria y orgullosa de su ciudad.","Una joya arquitectónica. Cada calle del centro histórico es un museo al aire libre. Las fachadas coloniales, las plazas y las iglesias crean una atmósfera única. El barrio La Floresta tiene restaurantes y cafés excelentes. La gente quiteña es muy hospitalaria y orgullosa de su ciudad",260,es,positivo,2023
Cuenca,Ciudad/Patrimonio,Sierra,La ciudad más bonita de Ecuador,"Cuenca superó todas mis expectativas. Es una ciudad tranquila, limpia, con una arquitectura colonial hermosa y ríos que la atraviesan. La gente es muy amable y la comida es deliciosa. El mercado de artesanías es imperdible. Definitivamente la ciudad más agradable de Ecuador.",5.0,Marzo 2024,2026-04-20,La ciudad más bonita de Ecuador,"Cuenca superó todas mis expectativas. Es una ciudad tranquila, limpia, con una arquitectura colonial hermosa y ríos que la atraviesan. La gente es muy amable y la comida es deliciosa. El mercado de artesanías es imperdible. Definitivamente la ciudad más agradable de Ecuador.","La ciudad más bonita de Ecuador. Cuenca superó todas mis expectativas. Es una ciudad tranquila, limpia, con una arquitectura colonial hermosa y ríos que la atraviesan. La gente es muy amable y la comida es deliciosa. El mercado de artesanías es imperdible. Definitivamente la ciudad más agradable de Ecuador",275,es,positivo,2024
